,franquicia,movie_count,ganancia_total,ganancia_promedio
365,The Amityville Horror Collection,5,224814746.0,44962949.2
366,The Apu Collection,2,552364.0,276182.0
367,The Art of War Collection,1,675120017.0,675120017.0
368,The Bible Collection,2,4954767.0,2477383.5
369,The Blue Lagoon collection,1,78898765.0,78898765.0
370,The Boogeyman Collection,1,35294470.0,35294470.0
371,The Boondock Saints Collection,1,161834276.0,161834276.0
372,The Bourne Collection,2,75597694.0,37798847.0
373,The Butterfly Effect Collection,1,167000.0,167000.0
374,The Carry On Collection,4,8199268.0,2049817.0
375,The Cell Collection,1,7070330.0,7070330.0
376,The Chronicles of Riddick Collection,1,28780255.0,28780255.0
377,The Collector Collection,1,205298907.0,205298907.0
378,The Crow Collection,2,127459416.0,63729708.0
379,The Decline of Western Civilization Collection,1,7000000.0,7000000.0
380,The Delta Force Collection,1,13644292.0,13644292.0
381,The Descent Collection,1,121147947.0,121147947.0
382,The Dirty Dozen Collection,1,92921203.0,92921203.0
383,The Disappearance Of Eleanor Rigby,2,36956000.0,18478000.0
384,The Discworld Collection,1,2957978.0,2957978.0
385,The Exorcist Collection,4,667630673.0,166907668.25
386,The Eye Collection,1,38804615.0,38804615.0
387,The Falcon Series,1,13.0,13.0
388,The Fast and the Furious Collection,1,176070171.0,176070171.0
389,The Fjällbacka Murders,1,18803648.0,18803648.0
390,The Flintstones (Live-Action) Collection,1,341631208.0,341631208.0
391,The Fly (1958 series),1,12534961.0,12534961.0
392,The Fly Collection,2,10177431.0,5088715.5
393,The Fox and the Hound Collection,1,17900000.0,17900000.0
394,The Fugitive / U.S. Marshals Collection,1,368875760.0,368875760.0
395,The Gate Collection,1,37962774.0,37962774.0
396,The Godfather Collection,2,62925690.0,31462845.0
397,The Gods Must Be Crazy Collection,1,7800000.0,7800000.0
398,The Gremlins Collection,2,549585513.0,274792756.5
399,The Grudge Collection,1,907456.0,907456.0
400,The Hangover Collection,1,43059790.0,43059790.0
401,The Hannibal Lecter Anthology,4,378121167.0,94530291.75
402,The Haunting in Connecticut Collection,1,8106475.0,8106475.0
403,The Hills Have Eyes (Reboot) Collection,1,84146832.0,84146832.0
404,The Hitcher (1986) Collection,1,15260000.0,15260000.0
405,The Howling Collection,1,21378361.0,21378361.0
406,The Incredible Hulk (TV Movie) Collection,1,34564651.0,34564651.0
407,The Invisible Man (Universal Series),1,154749918.0,154749918.0
408,The Jack Ryan Collection,3,579009126.0,193003042.0
409,The Jake Gittes Collection,1,27200000.0,27200000.0
410,The Jaws Collection,3,628967095.0,209655698.33333334
411,The Jungle Book Collection,1,8551228.0,8551228.0
412,The Karate Kid Collection,3,120060633.0,40020211.0
413,The Klapisch Trilogy,1,738599701.0,738599701.0
414,The Land Before Time Collection,1,22611954.0,22611954.0
415,The Last Exorcism Collection,1,823258.0,823258.0
416,The Lawnmower Man Collection,2,288623511.0,144311755.5
417,The Librarian Collection,2,969059140.0,484529570.0
418,The Lion King Collection,1,788241776.0,788241776.0
419,The Little Mermaid Collection,1,68369434.0,68369434.0
420,The Lord of the Rings Animated Collection,1,33697647.0,33697647.0
421,The Lord of the Rings Collection,1,31155435.0,31155435.0
422,The Man With No Name Collection,1,59600000.0,59600000.0
423,The Mask Collection,1,351583407.0,351583407.0
424,The Messengers Collection,1,60965854.0,60965854.0
425,The Mighty Ducks Collection,2,110980126.0,55490063.0
426,The Millennium Collection,1,155446362.0,155446362.0
427,The Monkey King Collection,1,3721345.0,3721345.0
428,The Mummy (Hammer Series),1,100654149.0,100654149.0
429,The Mummy Collection,1,4122748.0,4122748.0
430,The Muppet Collection,4,372606106.0,93151526.5
431,The Neverending Story Collection,1,33395426.0,33395426.0
432,The Nutty Professor Collection,1,242295562.0,242295562.0
433,The Odd Couple Collection,2,234194629.0,117097314.5
434,The Paleface Collection,1,17233166.0,17233166.0
435,The Philadelphia Experiment - Collezione,2,1833233.0,916616.5
436,The Pink Panther (Original) Collection,2,79865517.0,39932758.5
437,The Pink Panther (Steve Martin) Collection,1,23550000.0,23550000.0
438,The Protector Collection,1,1851517.0,1851517.0
439,The Rescuers Collection,1,87404651.0,87404651.0
440,The Ring Collection,1,598645.0,598645.0
441,The Santa Clause Collection,1,189833357.0,189833357.0
442,The Shadow Collection,1,48063435.0,48063435.0
443,The Sisterhood of the Traveling Pants Collection,1,251495.0,251495.0
444,The Space Odyssey Series,1,5000000.0,5000000.0
445,The Storm Riders Collection,1,47088990.0,47088990.0
446,The Terminator Collection,2,537752940.0,268876470.0
447,The Thin Man Collection,1,35000000.0,35000000.0
448,The Three Mothers Collection,1,19910002.0,19910002.0
449,The Transporter Collection,1,2647055.0,2647055.0
450,The Twilight Collection,2,49554290.0,24777145.0
451,The Vampire Chronicles,1,223664608.0,223664608.0
452,The Water of the Hills,1,2483130.0,2483130.0
453,The Whole Nine/Ten Yards Collection,2,93261799.0,46630899.5
454,The Wolf Man (Universal Series),1,170432927.0,170432927.0
455,The Wolverine Collection,1,27409889.0,27409889.0
456,The X-Files Collection,1,304320254.0,304320254.0
457,Thor Collection,1,6775121.0,6775121.0
458,Three Steps Above Heaven Collection,1,15172408.0,15172408.0
459,Thunderbirds (Animation) Collection,2,284981157.0,142490578.5
460,Timecop Collection,1,101646581.0,101646581.0
461,Tinker Bell Collection,2,28537738.0,14268869.0
462,Tom and Jerry Collection,2,22890711.0,11445355.5
463,Torrente Collection,1,1531251.0,1531251.0
464,Totò Collection,1,7424.0,7424.0
465,Toy Story Collection,2,373996033.0,186998016.5
466,Trailer Park Boys Collection,1,1289998.0,1289998.0
467,Transformers Collection,1,28400000.0,28400000.0
468,Trapped in the Closet,1,8138788.0,8138788.0
469,Trilogy of Life,1,59908565.0,59908565.0
470,Turbulence Collection,1,9381260.0,9381260.0
471,Under Siege Collection,1,104324083.0,104324083.0
472,Underworld Collection,2,28230069.0,14115034.5
473,Undisputed Collection,2,19982675.0,9991337.5
474,Universal Soldier Collection,4,559090707.0,139772676.75
475,Unna Trilogie,1,3770657.0,3770657.0
476,Urban Legend,2,85753239.0,42876619.5
477,V: The Collection,1,34592118.0,34592118.0
478,Vacancy Collection,1,91354215.0,91354215.0
479,Vampires Suck Collection,1,4542.0,4542.0
480,Van Helsing Collection,1,30114487.0,30114487.0
481,Varg Veum Collection,1,44462.0,44462.0
482,Walking Tall Collection,2,16706617.0,8353308.5
483,Wallace & Gromit Collection,1,47542841.0,47542841.0
484,Wallander (Rolf Lassgård),1,32788.0,32788.0
485,WarGames Collection,1,108282.0,108282.0
486,Wild Things Collection,1,121059225.0,121059225.0
487,Witch Mountain Collection,1,47431461.0,47431461.0
488,World of Watches Collection,1,4100000.0,4100000.0
489,Wrong Turn Collection,2,24441748.0,12220874.0
490,X-Men Collection,2,3557862.0,1778931.0
491,Young Guns Collection,2,413000000.0,206500000.0
492,Zapped Collection,1,318982.0,318982.0
493,Zatôichi: The Blind Swordsman,4,177755734.0,44438933.5
494,Zombi Collection,1,21355893.0,21355893.0
495,Zoolander Collection,1,9697739.0,9697739.0
496,Zorro Collection,1,41482207.0,41482207.0
497,xXx Collection,1,42886719.0,42886719.0
