name,director_return
Jerry Zucker,18.824
Jesse Peretz,0.14
Jim Abrahams,3.625
Jim Gillespie,7.39
Jim Handley,36.54
Jim Henson,0.95
Jim Jarmusch,0.58
Jim Sharman,94.08
Jim Sheridan,13.955
Jocelyn Moorhouse,2.36
Joe Alves,4.29
Joe Carnahan,1.87
Joe Chappelle,3.5949999999999998
Joe Dante,7.228
Joe Johnston,3.2475
Joe Mantello,1.45
Joe Pytka,3.13
Joel Coen,4.24
Joel Schumacher,2.7883333333333336
John Badham,1.0
John Boorman,2.2
John Bruno,0.19
John Carl Buechler,6.85
John Carpenter,70.64454545454545
John Dahl,1.08
John Ford,4.8
John Fortenberry,1.78
John Frankenheimer,1.128
John G. Avildsen,203752.41600000003
John Glen,5.08
John Guillermin,4.116
John Harrison,4.66
John Hughes,27.585
John Huston,3.6849999999999996
John Lafia,2.75
John Landis,2.5875
John Lasseter,7.739999999999999
John Lounsbery,59.35
John Madden,11.57
John McNaughton,3.36
John McTiernan,4.34
John Milius,3.96
John Musker,6.862222222222222
John Pasquin,8.63
John Payson,0.36
John Pieplow,0.57
John R. Leonetti,1.71
John Sayles,2.65
John Schlesinger,12.44
John Singleton,1.205
John Sturges,2.94
John Waters,250.3
John Whitesell,0.2
John Woo,3.3024999999999998
Jon Amiel,1.955
Jon Avnet,10.86
Jon Turteltaub,8.840000000000002
Jonathan Demme,8.15
Jonathan Frakes,2.4749999999999996
Jonathan Lynn,3.4050000000000002
Jonathan Mostow,1.39
Josef Rusnak,1.16
Joseph L. Mankiewicz,0.05
Joseph Ruben,0.59
Joseph Zito,12.68
Julian Schnabel,1.02
Kathryn Bigelow,0.19
Katsuhiro Ōtomo,0.07
Katt Shea,0.85
Keenen Ivory Wayans,2.94
Kenneth Branagh,2.49
Kenneth Johnson,0.11
Kenny Ortega,1.41
Kevin Costner,6.573333333333334
Kevin Hooks,0.69
Kevin Reynolds,3.313333333333333
Kevin Rodney Sullivan,1.88
Kevin Smith,55.04999999999999
Kevin Yagher,4.17
Kim Henkel,0.31
Kirk Wise,10.393333333333333
Kirk Wong,2.08
Koji Hashimoto,2.05
Kurt Neumann,4.29
Lana Wachowski,3.4933333333333336
Lance Mungia,0.06
Larry Clark,4.94
Larry Cohen,0.63
Lasse Hallström,0.91
Lawrence Kasdan,0.4
Lee David Zlotoff,2.11
Leonard Nimoy,5.1850000000000005
Les Clark,8.5
Les Mayfield,2.22
Lesli Linka Glatter,2.28
Lewis Teague,4.055
Lilly Wachowski,3.4933333333333336
Lisa Krueger,0.86
Louis Malle,1.77
Luc Besson,2.88
Luis Llosa,3.415
Luis Mandoki,1.49
Majid Majidi,5.0
Malcolm Leo,0.42
Marc Caro,0.275
Marco Brambilla,2.79
Mark A.Z. Dippé,2.2
Mark Aldo Miceli,7.25
Mark Christopher,1.29
Mark Dindal,0.11
Mark L. Lester,1.33
Mark Pavia,0.09
Mark Robson,11.38
Mark Sandrich,5.26
Mark Steven Johnson,0.91
Mark Tarlov,0.73
Mark Waters,0.42
Martin Brest,1.59
Martin Campbell,2.56
Martin Rosen,3.71
Martin Scorsese,4.057272727272727
Mary Lambert,3.5700000000000003
Maurice Hunt,0.51
Mel Brooks,11.826666666666666
Mel Gibson,2.92
Mel Smith,13.96
Mel Stuart,1.33
Merian C. Cooper,14.88
Michael Anderson,4.89
Michael Apted,1.95
Michael Bay,5.76375
Michael Caton-Jones,1.895
Michael Cimino,3.33
Michael Curtiz,5.41
Michael Mann,2.505
Michael Moore,20.965
Michael Powell,0.56
Michael Ritchie,4.04
Michael Tolkin,1.04
Michael Winterbottom,0.06
Mikael Salomon,0.28
Mike Figgis,6.97
Mike Gabriel,3.77
Mike Judge,1.28
Mike Leigh,2.98
Mike Newell,14.620000000000003
Mike Nichols,12.285
Miloš Forman,13.26
Mimi Leder,1.87
Mira Nair,0.8150000000000001
Neil Abramson,2.64
Neil Jordan,7.07
Neil LaBute,0.94
Nicholas Hytner,3.13
Nicholas Meyer,5.83
Nikita Mikhalkov,0.93
Nora Ephron,7.3549999999999995
Norman Ferguson,19.255
Norman Jewison,13.69
Norman Wright,311.71
Norton Virgien,3.35
Oliver Stone,5.228
Orson Welles,15.18
Otto Preminger,1.96
P.J. Hogan,6.46
Patrice Leconte,0.83
Patricia Birch,1.15
Paul Auster,0.915
Paul Lynch,14.8
Paul Mazursky,0.75
Paul Michael Glaser,1.23
Paul Satterfield,174.125
Paul Schrader,1.06
Paul Thomas Anderson,2.87
Paul Verhoeven,2.9333333333333336
Paul W.S. Anderson,1.9025
Penny Marshall,0.905
Peter Berg,0.33
Peter Cattaneo,73.67
Peter Faiman,65.64
Peter Farrelly,10.819999999999999
Peter Howitt,9.67
Peter Hyams,1.9024999999999999
Peter Jackson,0.5566666666666666
Peter MacDonald,3.0
Peter Medak,0.41500000000000004
Peter Segal,1.7
Peter Weir,8.17
Peter Yates,0.56
Philip Kaufman,0.6950000000000001
Phillip Noyce,2.4675000000000002
Pixote Hunt,0.51
Quentin Tarantino,10.837499999999999
R.J. Kizer,2.05
Rachel Talalay,1.665
Raja Gosnell,2.925
Ralph Bakshi,7.62
Ralph S. Singleton,1.1
Randal Kleiser,15.885
Randall Miller,2.51
Reb Braddock,0.02
Reginald Hudlin,1.75
Renny Harlin,3.782
Richard Attenborough,3.53
Richard Benjamin,2.95
Richard Brooks,5.86
Richard Donner,8.042727272727273
Richard Fleischer,3.4214285714285713
Richard LaGravenese,1.08
Richard Lester,2.735
Richard Linklater,2.06
Richard Marquand,17.7
Richard Rich,0.914
Richard Rush,0.49
Richard Stanley,1.24
Rick Rosenthal,10.21
Ridley Scott,2.198333333333333
Ringo Lam,1.4549999999999998
Risa Bramon Garcia,1.14
Rob Bowman,2.87
Rob Cohen,1.9975
Rob Hedden,2.8
Rob Minkoff,17.52
Rob Reiner,3.9966666666666666
Rob Sitch,1.1
Robert Altman,1.5166666666666666
Robert Benton,13.28
Robert Butler,0.21
Robert De Niro,0.79
Robert Iscove,10.32
Robert Kurtzman,3.14
Robert Longo,0.76
Robert Mulligan,6.56
Robert Patton-Spruill,0.02
Robert Redford,3.11
Robert Rodriguez,2.19
Robert Stevenson,8.975
Robert Towne,0.03
Robert Wise,15.383333333333333
Robert Zemeckis,9.56
Roberto Benigni,11.47
Rocky Morton,0.44
Rodman Flender,0.17
Roger Allers,17.52
Roger Avary,0.28
Roger Donaldson,2.39
Roger Kumble,7.23
Roger Michell,8.66
Roger Spottiswoode,3.03
Roger Vadim,0.28
Roland Emmerich,4.644
Roland Joffé,0.65
Rolf de Heer,1.5
Roman Polanski,6.5625
Ron Clements,6.862222222222222
Ron Howard,4.988
Ron Shelton,1.2
Ronald Neame,16.91
Ronny Yu,2.03
Russell Mulcahy,1.145
Rusty Cundieff,2.0
Sam Peckinpah,0.1
Sam Raimi,0.9366666666666665
Sam Weisman,0.39
Sammo Hung,1.48
Samuel Armstrong,116.74
Scott Silver,0.27
Sean S. Cunningham,108.64
Sergio Leone,3.0300000000000002
Shekhar Kapur,2.74
Shuki Levy,1.8
Sidney J. Furie,1.14
Sidney Lumet,2.86
Simon Wells,3.12
Simon West,2.99
Simon Wincer,1.5966666666666667
Spike Lee,1.045
Stanley Donen,3.1
Stanley Kubrick,5.784000000000001
Stanley Tong,13.540000000000001
Stefan Schwartz,0.1
Stephen Frears,2.036
Stephen Gyllenhaal,0.45
Stephen Herek,2.6244444444444444
Stephen Hopkins,1.99
Stephen Kessler,1.46
Stephen King,0.74
Stephen Norrington,2.92
Stephen Sommers,4.21
Steve Boyum,0.19
Steve Hickner,3.12
Steve James,5.63
Steve Miner,7.4825
Steve Oedekerk,7.08
Steven E. de Souza,2.84
Steven Lisberger,1.94
Steven Soderbergh,1.62
Steven Spielberg,22.748
Steven Zaillian,0.81
Stuart Baird,1.965
Stuart Rosenberg,5.41
