,production_company,movie_count,ganancia_total
171,Artanis Productions Inc.,1,21202829.0
172,Arte,8,1015215563.0
173,Arte France Cinéma,1,16810383.0
174,Artes Productions,1,17850711.0
175,Artisan Entertainment,5,206076543.0
176,Artista-Filmi,1,85978266.0
177,Artists Entertainment Complex,2,35021439.0
178,Artists Public Domain,1,85564310.0
179,Arts Council of England,7,265872575.0
180,Artémis Productions,1,3897569.0
181,Arwin Productions,1,6792000.0
182,Arzu Film,2,40212293.0
183,Ascot Elite Home Entertainment,1,36782781.0
184,Ascot Film,1,108083.0
185,Asgaard Entertainment,1,16136.0
186,Asmik Ace Entertainment,2,677239615.0
187,Aspiration Films,1,3547209.0
188,Associated British Picture Corporation,2,256121550.0
189,Associated British Picture Corporation (ABPC),1,630161890.0
190,Associated Players & Producers,1,4607608.0
191,Associated Producers (API),2,12534964.0
192,"Asylum, The",1,82391145.0
193,Asymmetrical Productions,1,67631903.0
194,Atchafalaya,1,14743391.0
195,Atelier Koninck,1,5816211.0
196,Athanor,1,461983149.0
197,Atlantic Entertainment Group,2,29502000.0
198,Atlantic Releasing Corporation,2,357225.0
199,Atlantic Streamline,1,105610124.0
200,Atlantis Films,1,374743.0
201,Atlas Entertainment,2,143254695.0
202,Atmo Media Network,2,70851801.0
203,Atípica Films,1,54058.0
204,August Entertainment,1,49042224.0
205,Aura Films,1,12036149.0
206,Aurora Productions,2,41890240.0
207,Australian Film Commission,1,14904.0
208,Australian Film Finance Corporation,1,294804195.0
209,Australian Film Finance Corporation (AFFC),3,152079157.0
210,Automatik Entertainment,1,68929150.0
211,Autonomous,1,54600000.0
212,Available Light Productions,1,113309743.0
213,Avala Film,3,67017147.0
214,Avalon Studios,1,2201126.0
215,Avenue Pictures Productions,5,162729095.0
216,Avex Entertainment,1,32438988.0
217,Aviacsa,1,21665468.0
218,Aviva Entertainment,1,14296438.0
219,Avon Production,1,10750000.0
220,Azalea Pictures,1,160829.0
221,Azor Film,1,16803753.0
222,BAV Film,1,263404.0
223,BBC,2,51915427.0
224,BBC Arena,1,591794936.0
225,BBC Earth,1,18000000.0
226,BBC Films,23,1624577500.0
227,BBC Natural History Unit,1,25.0
228,BBC Worldwide,1,56070433.0
229,BIG Pictures,1,12000000.0
230,BIM Distribuzione,2,698502641.0
231,BLT Productions,1,11373501.0
232,BNN TV,1,1056057273.0
233,BR Petrobrás,1,300257475.0
234,BUCK Productions,1,100541806.0
235,BXR Productions,1,471222889.0
236,Baa-Ram-Ewe,2,42376154.0
237,Babe Films,1,101236.0
238,Babelsberg Film GmbH,1,203427584.0
239,Babylonian Productions,3,81372758.0
240,Bac Films,7,573092447.0
241,Bad Lt. Productions,1,25105517.0
242,Bagboy Productions,1,88923251.0
243,Balcázar Producciones Cinematográficas,1,8235661.0
244,Ballinran Productions,1,2541554.0
245,Baltimore Spring Creek Productions,1,631744560.0
246,Bam-Ram-Ewe,1,3983997.0
247,Bandai Visual,2,184118164.0
248,Bandai Visual Company,7,323178161.0
249,Bandai Visual Company (JAPAN),2,137326481.0
250,Bandaï Media Department,1,299261.0
251,Bandito Brothers,1,7732325.0
252,Bandora,1,220151.0
253,Banger Productions,1,6971266.0
254,Barna-Alper Productions,1,19152480.0
255,Barton Films,1,2000000.0
256,Barwood Films,1,6746000.0
257,Basara Pictures,1,80768.0
258,Batjac Productions,3,1239101700.0
259,Battleplan Productions,2,362613015.0
260,Baum/Dantine Productions,1,11800000.0
261,Bavaria Film,4,63033220.0
262,Bawalco Picture Company,1,27046.0
263,Bayerischer Rundfunk (BR),1,192816.0
264,Bazelevs Production,2,4968439.0
265,Beacon Communications,1,524668.0
266,Beard Collins Shores Productions,1,368871007.0
267,Beaver Films,1,8692426.0
268,Becker & Häberle Filmproduktion GmbH,1,28814580.0
269,Beco Films,2,47033981.0
270,Bedford Falls Productions,1,160638883.0
271,Bedford Pictures Inc.,1,12000000.0
272,Beijing Mahua Funage Company,1,93282604.0
273,Beijing New Picture Film Co. Ltd.,1,12355798.0
274,Bel Air Entertainment,2,10032241.0
275,Belladonna Productions,1,21026290.0
276,Belstar Productions,1,32056467.0
277,Ben Katz Productions,1,42931041.0
278,Benedict Bogeaus Production,1,3537961.0
